Arrival rate8H,Finish rate8H,Num of unique resource8H,Process active time8H,Service time per case8H,Time in process per case8H,Waiting time in process per case8H,Num in process case8H
1,6,5,297.98333333333335,731.5666666666667,297.98333333333335,0.0,1.0
20,3,32,5625.2,2361.718421052631,296.06315789473683,0.0,15.0
15,0,28,4276.1,3126.9577777777777,285.0733333333334,0.0,27.0
1,0,3,224.3,455.53333333333336,224.3,0.0,28.0
14,0,19,3122.6,1100.732142857143,223.04285714285717,0.0,42.0
18,0,34,7355.166666666666,5022.460185185184,408.6203703703703,0.0,60.0
38,21,37,10087.56666666667,2356.160964912281,265.4622807017545,0.0,57.0
47,0,35,10292.833333333334,1877.588636363636,233.9280303030303,0.0,83.0
3,35,10,262.56666666666666,574.4111111111113,87.52222222222224,0.0,86.0
33,11,36,8220.349999999999,2123.469791666667,256.88593749999995,0.0,84.0
32,0,35,10500.433333333332,2629.5424731182793,338.7236559139785,0.0,105.0
3,34,11,865.9499999999998,4081.6,288.65,0.0,108.0
54,28,37,15079.116666666665,1477.304333333333,301.58233333333334,0.0,128.0
42,0,36,13807.86666666667,2614.3495934959346,336.7772357723578,0.0,142.0
2,32,13,746.2333333333332,2097.4083333333333,373.11666666666673,0.0,144.0
27,12,34,8869.016666666666,2283.9240740740743,328.4820987654321,0.0,139.0
32,2,28,6131.750000000001,1028.1048387096773,197.79838709677426,0.0,159.0
5,31,19,3244.4666666666667,5752.486666666668,648.8933333333333,0.0,162.0
36,11,36,13595.733333333335,3131.009722222223,377.6592592592593,0.0,167.0
28,0,31,9156.666666666666,1665.6185897435894,352.1794871794871,0.0,184.0
19,2,29,6005.083333333335,1856.937037037037,333.6157407407408,0.0,182.0
10,0,23,3826.183333333333,1451.186666666667,382.6183333333333,0.0,190.0
5,0,16,1529.0000000000002,2734.753333333333,305.80000000000007,0.0,195.0
25,0,28,5728.883333333332,1219.134027777778,238.7034722222222,0.0,220.0
27,0,30,5584.7,891.0895061728394,206.84074074074073,0.0,247.0
25,34,28,4211.916666666667,807.3333333333333,168.4766666666667,0.0,215.0
37,0,32,9685.733333333332,1414.3592592592593,269.04814814814813,0.0,218.0
3,41,13,1075.4833333333333,2227.038888888889,358.4944444444445,0.0,221.0
30,18,28,9277.8,2501.858888888889,309.2600000000001,0.0,210.0
26,0,34,6865.233333333334,2110.7611111111114,286.0513888888889,0.0,218.0
4,34,9,1327.2166666666667,861.7625,331.8041666666667,0.0,222.0
31,15,35,9439.333333333332,3783.882258064516,304.49462365591387,0.0,219.0
38,0,37,11805.316666666668,3651.974761904762,337.2947619047619,0.0,242.0
1,42,5,635.4333333333333,1638.216666666667,635.4333333333333,0.0,243.0
26,23,29,7937.25,2086.655555555556,330.71875,0.0,227.0
32,0,35,11309.233333333335,1577.5286458333335,353.41354166666673,0.0,236.0
2,31,14,1169.7333333333333,4531.608333333334,584.8666666666667,0.0,238.0
34,30,30,8225.8,1430.543010752688,265.34838709677416,0.0,241.0
23,0,30,5022.283333333333,2500.5412698412697,239.15634920634918,0.0,234.0
1,16,5,393.53333333333336,1918.216666666667,393.53333333333336,0.0,235.0
11,4,26,3926.2333333333336,3626.143939393941,356.9303030303031,0.0,230.0
19,0,28,6092.416666666668,1429.6377192982457,320.6535087719298,0.0,245.0
1,0,8,448.3,4117.016666666666,448.3,0.0,246.0
13,0,24,2312.7833333333333,871.4679487179485,177.90641025641025,0.0,259.0
14,0,22,5646.3166666666675,1592.9642857142856,403.30833333333334,0.0,273.0
4,42,4,51.21666666666666,32.74583333333333,12.804166666666665,0.0,277.0
41,36,38,10647.966666666662,2357.1581196581187,273.0247863247862,0.0,276.0
32,0,36,9354.1,2713.340555555556,311.80333333333334,0.0,272.0
3,48,6,1151.3833333333332,1285.727777777778,383.79444444444437,0.0,275.0
34,27,35,9852.333333333334,1869.732323232324,298.5555555555556,0.0,261.0
39,0,33,9317.7,1863.8981481481478,258.82500000000005,0.0,273.0
4,48,4,54.21666666666666,54.25833333333333,13.554166666666665,0.0,277.0
47,33,37,11291.45,1564.8406976744184,262.59186046511627,0.0,276.0
39,0,38,10146.983333333332,2388.5302631578948,267.0258771929824,0.0,282.0
2,33,9,450.35,3099.858333333333,225.175,0.0,284.0
27,21,33,7912.3166666666675,2153.655769230769,304.3198717948718,0.0,278.0
27,0,37,6645.666666666668,2408.7999999999993,255.6025641025641,0.0,284.0
2,45,10,735.15,1278.825,367.575,0.0,286.0
43,17,36,13395.250000000002,2025.5449612403095,311.5174418604652,0.0,284.0
18,0,29,4672.383333333333,2168.477777777778,259.57685185185187,0.0,285.0
1,27,1,11.633333333333333,11.633333333333333,11.633333333333333,0.0,286.0
26,3,29,7151.483333333334,1314.522435897436,275.0570512820513,0.0,285.0
12,0,27,3961.066666666667,3329.2666666666664,330.0888888888889,0.0,294.0
4,0,2,124.36666666666666,31.091666666666665,31.091666666666665,0.0,298.0
16,0,25,4172.950000000002,1169.0656249999995,260.80937500000005,0.0,314.0
18,0,24,4221.516666666666,1314.7480392156865,248.3245098039216,0.0,332.0
2,55,3,40.2,39.675,20.1,0.0,334.0
40,38,38,12912.166666666668,2768.369658119658,331.08119658119665,0.0,319.0
32,0,35,10960.266666666668,3210.6711111111113,365.3422222222223,0.0,313.0
2,44,1,17.566666666666666,8.783333333333333,8.783333333333333,0.0,315.0
31,30,35,9539.566666666668,2273.767777777778,317.9855555555556,0.0,302.0
34,0,32,11089.983333333335,2577.826960784314,326.17598039215693,0.0,306.0
3,38,10,715.1166666666667,2074.1111111111113,238.37222222222226,0.0,309.0
29,20,26,5638.233333333334,1437.2104938271607,208.82345679012343,0.0,300.0
27,0,34,8662.333333333336,2406.710897435898,333.16666666666674,0.0,307.0
3,50,8,745.55,1053.3222222222225,248.51666666666665,0.0,310.0
33,25,33,8174.499999999999,1510.4020833333334,255.453125,0.0,293.0
34,0,33,9943.350000000002,1758.740104166667,310.72968750000007,0.0,302.0
3,39,12,909.3,2461.577777777778,303.1,0.0,305.0
33,22,31,8673.5,1569.659595959596,262.8333333333333,0.0,299.0
14,0,23,5171.616666666667,1437.2964285714286,369.4011904761905,0.0,291.0
1,21,6,663.4166666666666,3062.666666666666,663.4166666666666,0.0,292.0
15,4,25,2501.6666666666665,1210.4000000000005,166.77777777777774,0.0,286.0
16,0,29,4321.45,1384.515555555556,288.09666666666664,0.0,298.0
3,0,11,1798.416666666667,4918.833333333333,599.4722222222222,0.0,301.0
15,1,28,5937.766666666667,2693.152222222222,395.8511111111112,0.0,316.0
18,0,36,6262.0666666666675,3016.6572916666673,391.37916666666666,0.0,333.0
3,64,14,710.1166666666667,2032.4388888888889,236.70555555555558,0.0,336.0
37,42,33,8114.616666666666,1068.9280952380952,231.84619047619046,0.0,309.0
40,0,34,10344.4,1362.3619658119658,265.2410256410257,0.0,307.0
4,48,14,750.1833333333333,663.8875,187.5458333333333,0.0,311.0
39,26,32,8968.33333333333,1806.5427350427349,229.95726495726487,0.0,302.0
27,1,25,5954.066666666667,1083.2762820512821,229.0025641025641,0.0,303.0
1,53,2,1.95,4.55,1.95,0.0,303.0
48,25,37,13153.433333333332,1727.1174242424238,298.94166666666666,0.0,298.0
45,0,37,10958.200000000004,2431.295238095237,260.9095238095239,0.0,318.0
3,41,2,24.916666666666664,8.305555555555555,8.305555555555555,0.0,321.0
32,37,33,9063.633333333333,2575.8061111111106,302.1211111111112,0.0,312.0
26,0,38,10675.05,3575.57,427.002,0.0,301.0
37,33,35,6895.583333333334,1490.1995495495496,186.36711711711715,0.0,300.0
31,0,38,10957.7,3219.1193548387105,353.4741935483871,0.0,298.0
3,24,5,289.28333333333336,148.0,96.4277777777778,0.0,301.0
20,2,36,7418.4,3901.7324999999987,370.92,0.0,297.0
15,0,30,5288.7,3809.7,352.58,0.0,310.0
1,0,5,723.1,3162.316666666666,723.1,0.0,311.0
21,0,34,8272.949999999999,3455.644444444445,393.94999999999993,0.0,332.0
19,3,24,5284.533333333332,942.4008771929823,278.13333333333327,0.0,351.0
3,58,15,1207.9166666666665,1281.1055555555556,402.63888888888886,0.0,351.0
36,35,38,11345.566666666668,2950.317156862746,333.693137254902,0.0,329.0
45,0,33,14409.36666666667,1869.645634920635,343.0801587301588,0.0,339.0
2,49,22,1387.05,26111.59166666667,693.525,0.0,341.0
32,33,36,7801.333333333332,1877.930459770115,269.01149425287355,0.0,324.0
38,0,42,14608.283333333333,4265.236486486489,394.8184684684684,0.0,329.0
6,38,14,1647.0500000000004,1179.8444444444444,274.5083333333334,0.0,335.0
40,27,35,10273.95,4149.5846491228085,270.3671052631579,0.0,337.0
37,0,36,10346.483333333335,2346.0689189189193,279.63468468468466,0.0,347.0
5,75,15,992.05,1107.8133333333335,198.41000000000003,0.0,352.0
76,64,39,9885.933333333338,875.6585714285715,141.2276190476191,0.0,353.0
73,0,36,9324.883333333333,918.4588383838386,141.2861111111111,0.0,362.0
4,64,8,748.85,370.35,187.2125,0.0,366.0
46,31,35,9439.516666666665,1358.188636363636,214.5344696969696,0.0,348.0
28,0,30,7964.583333333335,2248.3714285714277,284.4494047619048,0.0,345.0
6,33,9,819.6333333333333,254.51388888888886,136.60555555555553,0.0,351.0
22,8,32,5382.016666666666,2666.995000000001,269.10083333333336,0.0,340.0
21,0,30,7432.199999999999,2520.985,371.61,0.0,353.0
3,3,1,96.75,32.25,32.25,0.0,356.0
18,0,29,4718.0,3073.186666666667,314.53333333333336,0.0,371.0
17,1,30,5593.233333333335,2765.33431372549,329.0137254901961,0.0,388.0
2,62,6,262.2833333333333,430.40833333333336,131.14166666666665,0.0,389.0
36,50,37,9008.35,1334.781862745098,264.95147058823517,0.0,363.0
41,0,40,11149.3,2649.4247863247874,285.87948717948717,0.0,354.0
6,58,10,1352.5500000000004,478.91666666666674,225.42500000000004,0.0,360.0
49,31,41,12179.933333333334,2526.3305555555553,253.7486111111112,0.0,351.0
30,0,37,9255.333333333332,1628.9394444444447,308.51111111111106,0.0,350.0
4,42,20,1144.9,2608.2166666666667,286.225,0.0,354.0
31,34,39,9991.483333333334,1922.2505376344086,322.30591397849463,0.0,343.0
49,0,35,9905.133333333333,1549.9256944444446,206.35694444444442,0.0,358.0
5,33,12,978.7833333333334,993.6166666666666,195.7566666666667,0.0,363.0
37,74,41,9956.75,2329.108571428571,284.47857142857146,0.0,367.0
105,1,38,13736.000000000002,1006.5475177304967,146.1276595744681,0.0,398.0
9,72,6,664.9333333333333,325.9055555555556,73.88148148148147,0.0,406.0
50,33,39,10896.583333333332,1491.0472222222227,227.01215277777771,0.0,384.0
35,0,41,11745.383333333333,4612.89705882353,345.45245098039214,0.0,386.0
1,37,8,748.6833333333333,3174.45,748.6833333333333,0.0,387.0
30,8,33,5720.283333333334,1238.2553571428573,204.29583333333332,0.0,380.0
11,0,27,4763.35,3496.133333333333,433.03181818181815,0.0,383.0
2,0,1,59.25,29.625,29.625,0.0,385.0
19,0,34,6039.016666666666,2315.3508771929824,317.84298245614036,0.0,404.0
12,0,22,3101.5000000000005,1228.0136363636366,281.9545454545455,0.0,416.0
2,85,7,231.11666666666667,1324.1833333333334,115.55833333333334,0.0,418.0
41,48,30,4603.066666666667,397.195945945946,124.40720720720721,0.0,374.0
31,0,41,9038.450000000004,2286.353333333333,301.28166666666675,0.0,357.0
6,63,16,1679.8333333333335,1586.8583333333331,279.97222222222223,0.0,363.0
30,19,40,6055.416666666668,2946.916666666666,208.80747126436782,0.0,330.0
43,1,37,7366.833333333334,1395.8003968253963,175.40079365079367,0.0,354.0
1,58,1,1.6166666666666667,1.6166666666666667,1.6166666666666667,0.0,354.0
39,20,42,16318.35,3475.0128571428572,466.23857142857145,0.0,335.0
33,0,40,10066.783333333336,2175.021717171717,305.05404040404045,0.0,348.0
1,49,6,488.1,2945.816666666666,488.1,0.0,349.0
31,49,30,5190.583333333333,1332.5194444444448,173.01944444444442,0.0,331.0
25,0,29,6208.783333333335,1410.737333333333,248.3513333333334,0.0,307.0
1,37,3,20.5,87.58333333333331,20.5,0.0,308.0
28,21,35,7404.166666666664,1281.8785714285714,264.43452380952374,0.0,299.0
25,0,35,6469.983333333334,1743.3166666666666,269.5826388888889,0.0,303.0
7,36,13,1121.9666666666667,810.4428571428572,160.2809523809524,0.0,310.0
21,8,28,4858.183333333333,1117.7468253968254,231.34206349206346,0.0,295.0
8,0,11,1419.7333333333331,412.65,177.46666666666664,0.0,295.0
2,2,10,644.5833333333334,3903.6583333333338,322.2916666666667,0.0,297.0
18,0,34,6584.266666666666,2845.034259259259,365.7925925925925,0.0,313.0
17,0,34,4807.949999999999,3553.925490196078,282.82058823529405,0.0,330.0
3,72,5,972.2,413.58888888888885,324.06666666666666,0.0,333.0
35,27,36,10014.45,2055.937373737374,303.4681818181818,0.0,296.0
34,0,41,11522.283333333333,2086.2272727272725,349.16010101010096,0.0,303.0
1,45,1,8.166666666666666,8.166666666666666,8.166666666666666,0.0,304.0
37,30,39,11475.999999999995,3223.036666666668,327.88571428571413,0.0,296.0
33,0,35,8009.749999999999,1956.152525252525,242.7196969696969,0.0,299.0
5,43,9,570.6666666666666,295.11333333333334,114.13333333333333,0.0,304.0
31,32,31,7948.383333333334,1542.005913978494,256.39946236559143,0.0,292.0
37,0,42,8342.616666666665,2206.733823529412,245.3710784313725,0.0,297.0
4,54,9,406.98333333333335,553.2,101.74583333333334,0.0,301.0
46,33,39,10543.183333333327,1654.1999999999994,234.29296296296283,0.0,293.0
35,0,35,9744.2,2733.884803921569,286.59411764705885,0.0,295.0
2,42,5,301.1,1029.9083333333333,150.55,0.0,297.0
32,24,40,10192.683333333334,3150.163978494624,328.7962365591398,0.0,287.0
18,0,36,7133.483333333335,3387.263888888889,396.3046296296297,0.0,281.0
6,17,21,2589.05,1573.8027777777775,431.50833333333327,0.0,287.0
28,6,40,10333.966666666667,3004.5202380952387,369.0702380952381,0.0,298.0
20,0,25,4124.666666666666,1120.4263157894736,217.0877192982456,0.0,312.0
13,0,25,4296.616666666668,4629.166666666666,330.5089743589745,0.0,324.0
25,1,32,4777.966666666667,931.4972222222225,199.08194444444447,0.0,349.0
2,77,8,417.4833333333333,619.2416666666667,208.74166666666665,0.0,350.0
36,30,41,10114.3,3552.126666666667,288.98,0.0,309.0
38,0,36,12659.916666666664,2717.70350877193,333.155701754386,0.0,317.0
4,52,1,27.68333333333333,6.9208333333333325,6.9208333333333325,0.0,321.0
19,28,34,5705.0666666666675,4069.0649122807013,300.26666666666665,0.0,288.0
34,0,37,9534.683333333334,2543.775,297.9588541666667,0.0,294.0
31,22,28,4951.1500000000015,800.9758620689653,170.72931034482758,0.0,281.0
26,1,37,7670.716666666667,2003.842666666667,306.82866666666666,0.0,285.0
4,34,7,348.7,859.8791666666667,87.175,0.0,288.0
29,20,35,9922.716666666667,3011.3209876543215,367.50802469135806,0.0,283.0
19,0,27,4860.9,1061.7740740740742,270.04999999999995,0.0,282.0
1,35,1,9.05,9.05,9.05,0.0,283.0
21,24,31,4320.633333333333,1262.7783333333332,216.03166666666667,0.0,269.0
22,0,35,4623.65,1652.225,210.16590909090908,0.0,267.0
25,4,36,10404.883333333333,2236.819333333333,416.1953333333333,0.0,261.0
16,0,38,8416.616666666667,5133.835416666667,526.0385416666667,0.0,273.0
18,0,34,7913.2,3271.7898148148142,439.6222222222222,0.0,289.0
16,0,24,1322.1333333333332,405.09111111111116,88.14222222222222,0.0,305.0
4,49,3,34.90000000000001,15.595833333333335,8.725000000000001,0.0,309.0
41,37,35,7585.6500000000015,941.4945833333336,189.64125,0.0,301.0
38,0,38,7947.183333333335,1486.6093137254902,233.7406862745099,0.0,302.0
4,47,6,787.6333333333334,706.9958333333333,196.90833333333336,0.0,306.0
26,26,30,5364.749999999999,983.380128205128,206.3365384615384,0.0,285.0
33,0,37,9945.716666666667,1361.0869791666667,310.80364583333335,0.0,292.0
3,47,9,650.0666666666666,3457.666666666666,216.6888888888889,0.0,295.0
25,23,29,8411.95,1990.2859999999994,336.478,0.0,273.0
30,0,38,7503.316666666667,2228.5372222222213,250.11055555555552,0.0,280.0
3,38,10,789.95,1454.294444444445,263.31666666666666,0.0,283.0
25,17,31,6313.066666666665,1661.3239130434781,274.48115942028977,0.0,270.0
35,0,35,10340.05,1739.083823529412,304.11911764705883,0.0,288.0
4,39,17,764.3833333333333,1541.4833333333331,191.09583333333333,0.0,292.0
32,15,37,11401.233333333335,3596.6171875,356.28854166666673,0.0,285.0
16,0,32,8819.816666666668,3969.665625,551.2385416666667,0.0,286.0
